UNIQID	AVERAGE	Pv.1	Pv.2	Sst.1	Sst.2	Gad2.1	Gad2.2	Gad2.3	Purkinje.1	Purkinje.2	Purkinje.3	Camk2a.1	Camk2a.2	Camk2a.3	Neocortex.1	Neocortex.2	Neocortex.3	Cerebellum.1	Cerebellum.2	Cerebellum.3
mmu-miR-132	3129.21	1409.79	1556.2	8422.16	5521.47	1881.52	1720.91	2561.57	353.83	456.45	328.51	6861.95	6151.41	8429.31	3862.21	3616.21	3995.91	894.43	847.36	583.84
mmu-miR-434-5p	3055.26	4102.74	3930.71	4082.05	4003.77	4310.45	3858.56	4302.7	1575.27	1909.87	1645.51	3978.07	4839.1	3922.39	2177.73	3660.14	2991.14	902.56	1117.67	739.53
mmu-miR-29a*	3036.89	4272.22	3308.23	3425.17	4573.42	2539.11	2698.7	3953.33	969.4	1077.05	1180.86	2653.98	3196.95	2818.6	4136.76	5473.12	5601.68	2154.76	1977.18	1690.36
mmu-miR-873	2975.36	532.63	403.91	3479.91	3063.86	3392.5	2669.03	2578.75	809.45	1089.07	1243.01	6601.01	7552.61	6219.83	5625.8	5521.93	5133.1	187.02	233.86	194.61
mmu-miR-101a	2942.91	2090.48	2034.42	3253.13	4874.51	2006.44	2299.49	2527.21	702.81	684.67	574.15	2771.36	3350.56	2623.75	1917.15	3189.2	2554.05	6878.98	6678.67	4904.28
mmu-miR-484	2750.27	2414.53	2426.09	1790.78	1704.86	1320.79	1517.26	1759.74	2883.96	2606.55	1755.01	2023.47	2043.71	2282.31	697.99	1063.88	1120.52	8334.46	8142.57	6366.67
mmu-miR-204	2708.95	81.01	69.94	1290.3	1265.42	163.52	253.55	181.84	111.48	92.09	44.39	726.55	503.72	788.83	572.35	502.66	676.02	17295.02	12555.54	14295.81
mmu-miR-140*	2693.32	3107.32	2945.41	4793.67	4390.32	3021.25	3333.92	2942.44	1914.56	2210.16	2311.41	1586.96	1903.36	2120.57	2308.02	2623.1	2498.48	2244.21	2526.9	2390.98
mmu-miR-301a	2669.02	5245.29	5090.86	7663.61	5635.39	1461.15	1889.49	2359.68	5448.03	3555.48	4184.81	487.92	523.21	654.52	530.47	688.11	686.2	1374.17	1670.43	1562.47
mmu-miR-323-3p	2569.55	2329.79	2304.57	3745.79	3470.75	3530.05	3520.04	2965.35	1483.18	2046	1503.45	4599.85	3373.18	4249.65	2140.5	2125.32	2297.53	1040.79	977.96	1117.64
mmu-miR-30a*	2561.23	3432.3	3734.87	2643.16	3010.97	2084.34	2060.78	1013.75	2753.1	3183.12	3181.52	1815.88	1557.93	1952.21	1796.16	1288.37	1648.37	3472.01	4203.4	3831.12
mmu-miR-222	2463.03	121.98	90.05	117.3	126.14	657.59	416.74	1229.96	14.54	12.01	8.88	6178.08	8338.59	7272.55	5509.47	5800.1	7150.03	1138.37	1369.75	1245.53
mmu-miR-744	2460.84	2604.49	3502.32	4895.33	7551.83	1763.62	1898.93	1530.64	2404.11	2770.71	3045.38	1713.06	2130.26	2468.64	1219.16	1127.32	1117.74	1715.68	1767.62	1529.11
mmu-miR-7a	2380.19	601.54	785.09	12519.84	8768.43	2568.59	2205.08	4188.15	538.02	564.55	855.31	1330.87	3004.36	2664.42	874.81	1163.92	1303.88	414.69	482.91	389.23
mmu-miR-1843-5p	2358.42	2685.5	3132.5	2346	2844.14	1939.77	2101.24	2621.71	3024.53	3010.95	2684.31	2260.16	3175.9	2424.18	2512.77	2828.07	3083.75	715.54	734.99	683.93
mmu-miR-22*	2296.78	1422.83	1405.82	2346	2486.08	1797.31	1815.32	1943.01	1429.86	1597.56	1243.01	2677.27	2906.89	2646.45	4397.34	4397.04	5272.93	1317.25	1263.45	1273.33
mmu-miR-146b	2223.37	2096.07	1970.6	4989.17	3906.12	2511.74	3096.56	3747.14	843.38	560.55	828.67	1485.11	1502.57	1728.99	2010.21	2071.64	2955.95	1731.94	2150.3	2057.35
mmu-miR-1983	2107.49	1229.15	1342.88	688.16	1155.56	1478.69	1492.98	1530.64	5637.06	7407.25	5889.51	1074.79	1513.48	1261.75	2173.08	2198.52	1884.51	691.15	792.69	600.52
mmu-miR-532-5p	2081.37	446.03	372.44	3120.19	2168.71	2004.34	1858.47	2557.28	2142.37	1993.95	2024.33	1624.79	1424.59	1872.76	3094.42	2459.61	2794.82	2431.22	2675.72	2479.94
mmu-miR-134	2058.08	3364.32	3479.59	3714.51	6978.12	3769.36	3747.97	2650.35	659.19	692.68	979.61	1781.93	2237.09	1845.33	930.65	900.39	619.53	268.33	239.93	244.66
mmu-miR-370	2031.09	1912.63	1920.77	2635.34	3328.34	3464.08	2592.15	2127.72	1706.14	1625.59	3140.09	2842.17	3002.8	3862.8	1321.53	910.15	1273.32	284.59	373.57	266.9
mmu-miR-30e*	1983.32	2740.44	3135.12	2330.36	2958.07	1277.98	1270.45	844.79	2951.82	3351.28	2592.57	797.36	751.67	889.09	744.52	1422.57	1665.96	2374.3	3015.88	2568.91
mmu-miR-31	1757.54	116.4	130.27	1829.88	1993.75	762.86	575.88	1101.09	1512.26	1525.49	2101.28	3436.79	3633.61	4386.8	2866.41	2659.7	3930.16	308.98	315.86	205.74
mmu-miR-325	1706.96	3547.77	6077.91	977.5	1371.21	1147.44	1567.16	1386.03	2132.68	3050.99	1092.07	853.62	1065.13	948.68	972.53	1332.29	1488.16	1536.79	944.55	939.71
mmu-miR-872	1670.55	1259.88	1098.95	1000.96	1432.24	1313.07	1492.98	1669.53	959.71	1305.28	1109.83	2262.1	2417.21	2023.15	3010.66	3677.22	2671.65	1073.32	1050.85	911.91
mmu-miR-330	1598.18	3273.07	3684.16	3573.75	4422.87	2602.97	3099.26	1300.12	329.6	476.47	455.77	857.5	1415.24	1049.88	879.47	868.67	543.59	585.44	519.35	428.15
mmu-miR-433*	1555.28	2768.37	3811.81	3057.63	2538.98	1374.82	1564.46	1974.52	2375.03	2710.65	2009.54	532.54	959.09	677.22	581.66	890.63	889.93	292.72	246.01	294.7
mmu-miR-380-3p	1484.88	4026.39	3521.55	2181.78	2864.49	1955.21	1561.77	2021.77	601.03	752.74	725.09	1564.65	2251.12	1615.49	502.55	619.78	701.95	300.85	194.38	250.22
mmu-miR-3068	1441.32	1945.22	2249.49	1485.8	1818.79	1220.43	1499.73	1673.83	2050.28	2334.29	2355.8	504.41	903.72	667.76	1400.63	1786.15	1492.79	707.41	771.43	517.12
mmu-miR-421	1350.67	782.18	1073.6	3581.57	2018.16	1027.43	1020.95	1340.21	3955.15	3607.53	2444.59	676.11	538.02	886.25	516.51	368.45	764.92	317.12	349.27	394.79
mmu-miR-485*	1350.59	1713.36	1876.18	1743.86	1061.98	1536.24	2164.62	1894.33	2055.13	1949.91	1106.87	1997.28	1810.57	2063.82	493.25	568.54	570.45	471.61	321.94	261.34
mmu-miR-20a	1275.10	310.08	475.6	969.68	838.19	380.38	307.5	645.76	974.25	812.8	535.68	1337.66	1282.68	1937.08	3043.24	1839.83	3363.41	1609.97	1794.95	1768.21
mmu-miR-3072	1266.85	1978.74	1615.65	1790.78	1550.24	1718.71	1584.69	632.88	2588.3	3091.03	3255.51	709.09	598.06	716	386.22	246.45	263.92	406.56	531.5	405.91
mmu-miR-181c*	1263.30	1306.43	1135.67	1407.6	1273.56	1228.85	1211.11	1208.48	1667.37	2046	2548.17	832.28	942.71	781.26	1423.9	1383.53	1175.16	642.36	926.33	861.86
mmu-miR-135a	1237.63	72.63	67.32	172.04	109.86	259.67	383.02	672.97	77.55	20.02	29.6	1038.9	1499.45	1345.93	2247.53	4660.57	4089.44	2488.14	2122.96	2157.44
mmu-miR-337-5p	1218.06	901.37	1112.94	1837.7	1835.06	1289.91	996.67	952.18	1725.53	2017.98	2586.65	908.91	1196.13	1275.93	1209.85	712.51	1136.26	479.74	561.87	405.91
mmu-miR-125b-2-3p	1183.95	1152.79	1158.4	2150.5	2132.09	1357.98	1599.53	1686.71	489.55	468.46	423.22	1283.34	1390.28	1475.51	1121.44	1532.38	1353.89	536.66	698.54	483.76
mmu-miR-124*	1144.92	816.64	706.41	672.52	528.95	717.94	872.59	780.36	610.72	848.83	618.55	959.35	1250.71	1056.5	1642.6	2469.37	2331.79	1618.1	1694.72	1556.91
mmu-miR-135b	1144.31	74.49	36.72	563.04	370.27	169.84	261.64	471.08	9.69	20.02	5.92	1398.77	1415.24	1418.76	1447.17	2484.01	2257.71	3366.31	3146.48	2824.69
mmu-miR-138-2*	1132.63	777.53	847.17	586.5	626.61	921.46	759.3	1238.55	2641.61	3335.27	3308.78	1019.49	998.85	887.2	753.83	856.47	1064.96	333.38	279.42	283.58
mmu-miR-339-5p	1125.02	811.98	604.99	1204.28	1896.1	1065.33	1287.98	571.31	664.04	780.76	553.44	2110.77	1936.11	2516.87	926	758.87	376.9	1252.2	1184.48	872.98
mmu-miR-872*	1123.85	1241.25	1095.46	1423.24	1232.87	1016.21	895.52	1025.2	1526.8	1449.42	1302.2	1338.63	1148.56	1392.27	884.12	846.71	1268.69	788.72	832.18	645.01
mmu-miR-326	1107.55	2871.73	2486.42	2697.91	1704.86	1224.64	1108.61	325.03	397.45	472.46	298.91	938.01	1069.81	1084.88	200.09	268.41	197.25	1658.76	1120.7	917.47
mmu-miR-187	1104.19	77.29	82.18	5513.11	8552.78	2047.85	1707.42	1403.21	4.85	32.03	20.72	41.71	52.24	51.08	97.72	75.64	188.91	341.51	328.01	361.43
mmu-miR-431	1092.59	1532.71	1468.77	1564	1924.58	1442.2	1181.44	1341.64	959.71	1077.05	1053.6	1639.34	2307.26	1806.55	265.24	348.93	366.72	187.02	170.08	122.33
mmu-miR-125a-3p	1087.81	884.61	964.32	1829.88	1806.58	1244.99	1246.18	1536.37	542.86	712.7	630.38	1309.53	1469.04	1328.9	1051.64	1095.6	845.48	544.79	962.77	661.69
mmu-miR-193b	1024.76	227.21	290.26	954.04	1204.39	680.75	708.05	1575.03	2331.41	2566.51	2234.46	1384.22	1384.05	1339.31	349	539.26	655.64	365.9	391.79	289.14
mmu-miR-344	1022.99	717	955.57	1759.5	1672.31	1074.45	845.62	1592.21	334.44	324.32	316.67	995.24	927.9	1275.93	870.16	651.5	1295.54	1122.1	1394.05	1312.26
mmu-miR-150	1020.62	116.4	92.67	70.38	77.31	18.95	33.72	7.16	48.47	40.04	20.72	32.98	19.49	27.43	1623.99	2052.12	1473.35	4716.08	4127.47	4793.07
mmu-let-7d*	996.36	1044.78	1053.49	891.48	720.19	552.32	749.86	800.4	1531.65	1321.29	651.1	942.86	1207.04	1078.25	535.13	714.95	650.09	1642.5	1469.98	1373.42
mmu-miR-92b	980.25	96.84	66.44	125.12	113.93	130.53	115.99	399.48	58.16	40.04	8.88	1651.95	1250.71	1603.19	1503.01	1356.69	1302.03	3350.05	2888.32	2563.35
mmu-miR-374	973.00	255.14	208.08	774.18	463.85	361.43	465.29	897.77	305.36	436.43	213.09	1132.99	1025.36	1014.88	693.34	1883.75	1802.09	2390.57	2350.75	1812.69
mmu-miR-1981	968.69	670.44	792.96	1423.24	1513.62	1338.33	923.84	1313	460.46	472.46	615.59	1159.18	1616.41	1925.73	1330.83	976.04	1522.43	113.84	136.67	100.09
mmu-miR-345-5p	962.93	1018.7	915.36	453.56	602.19	782.51	702.66	681.56	2152.07	3131.07	2474.19	485.98	509.17	448.33	404.83	470.94	475.99	878.17	935.44	772.9
mmu-miR-1843-3p	947.97	559.63	942.46	930.58	760.88	486.35	809.21	972.22	2026.05	2422.37	979.61	1213.5	1391.84	1185.13	614.23	1010.2	860.3	325.25	315.86	205.74
mmu-miR-431*	942.76	1469.39	1674.22	1345.04	2030.37	1102.53	1084.33	866.27	1168.13	1277.25	1568.56	606.26	712.69	688.57	707.3	461.18	456.54	170.75	233.86	289.14
mmu-miR-212-3p	930.07	514.94	514.07	2134.86	1338.66	773.38	788.97	969.36	324.75	236.23	150.94	2327.09	2161.45	2966.15	716.6	717.39	676.02	73.18	176.15	111.21
mmu-miR-665	930.03	1315.75	1472.27	1446.7	1725.2	848.48	1056.01	1154.07	1008.18	1017	825.72	1049.57	1183.65	1504.83	460.67	485.58	538.96	178.89	215.64	183.49
mmu-miR-676	923.86	39.11	36.72	711.62	935.84	510.21	454.5	231.96	2186	2794.74	3711.28	780.87	796.12	805.85	818.98	758.87	710.28	487.87	443.42	339.18
mmu-miR-485	909.27	1551.33	2011.69	1689.12	2201.26	1802.22	1464.66	1376	24.23	24.02	50.31	804.15	1013.67	1086.77	660.76	685.67	781.59	24.39	24.3	0
mmu-miR-181a-1*	869.48	604.33	589.26	844.56	1818.79	588.81	784.93	816.15	363.52	416.41	440.97	431.66	486.56	356.58	1302.92	1834.95	1443.71	1325.38	1175.37	895.23
mmu-miR-7b	855.82	230.93	263.15	4778.03	3340.55	1003.57	826.74	1136.89	29.08	36.04	56.23	619.85	1232	1054.61	274.54	417.26	449.13	219.54	170.08	122.33
mmu-miR-362-5p	852.38	199.27	178.35	1290.3	1021.29	576.88	601.51	803.27	853.07	812.8	840.51	281.31	308	353.74	1051.64	1041.92	1175.16	1341.64	1813.17	1651.44
mmu-miR-15b	836.93	184.37	215.07	312.8	345.85	122.11	195.56	164.66	1366.85	1385.36	600.79	406.44	246.4	374.55	846.89	1432.33	965.87	2756.47	2211.04	1768.21
mmu-miR-188-5p	815.45	348.26	293.75	1908.08	2331.47	975.5	1069.5	816.15	591.33	744.73	671.82	751.77	660.44	765.18	558.39	378.21	297.26	683.02	920.25	728.41
mmu-miR-212-5p	799.70	378.06	410.03	1579.64	858.53	650.57	760.65	1192.73	184.19	156.15	150.94	1259.09	1777.82	1685.48	795.71	1141.96	1847.47	121.97	115.41	127.89
mmu-miR-28	798.00	565.22	838.42	680.34	484.2	484.94	594.77	711.63	906.39	764.75	695.49	150.35	230.02	215.65	390.87	883.31	814	2089.71	1943.77	1718.17
mmu-miR-329	734.98	546.6	561.28	508.3	488.27	427.4	583.98	887.74	1143.89	1265.24	580.07	992.33	1056.55	900.44	572.35	907.71	816.78	788.72	525.43	411.47
mmu-miR-338-5p	709.30	363.16	399.54	695.98	573.71	397.22	451.81	548.4	688.27	576.56	612.63	583.95	470.97	531.56	1158.66	1166.36	1462.23	951.35	999.22	845.18
mmu-miR-409-5p	698.64	659.27	687.17	1079.16	980.6	817.6	891.47	1040.95	1032.41	744.73	719.17	458.82	727.5	550.48	595.62	875.99	888.08	146.36	173.12	205.74
mmu-miR-344b	688.66	771.94	1139.17	1313.76	1741.48	419.68	449.11	453.9	1362.01	1593.56	1370.27	410.32	244.06	401.98	423.45	236.69	388.94	97.57	160.97	105.65
mmu-miR-299*	686.45	688.14	588.38	430.1	386.54	544.6	596.11	745.99	678.58	816.8	491.29	695.51	768.83	732.08	456.02	658.82	828.81	1292.86	853.44	789.58
mmu-miR-1937a	673.52	76.36	43.71	125.12	150.55	313	760.65	476.8	2089.06	2526.47	1778.69	1107.77	400.01	751	358.3	346.49	105.57	479.74	574.02	333.62
mmu-miR-672	671.47	414.37	477.35	2220.88	1155.56	881.46	787.63	1248.57	19.39	16.02	11.84	732.37	934.91	1336.47	795.71	451.42	768.62	121.97	194.38	189.05
mmu-miR-488	670.74	647.16	610.24	868.02	1127.08	673.73	632.53	475.37	615.57	632.62	796.12	821.61	1002.75	751.94	935.31	805.23	762.14	170.75	215.64	200.17
mmu-miR-7a-1*	669.74	601.54	578.77	508.3	642.88	363.53	543.52	518.33	712.51	820.8	520.88	604.32	422.62	680.06	577.01	783.27	700.09	1219.68	1154.11	772.9
mmu-miR-1937b	664.79	76.36	40.22	125.12	150.55	306.69	751.21	475.37	2098.75	2494.44	1775.73	1087.4	393.77	744.37	349	341.61	95.38	447.21	549.72	328.06
mmu-miR-99a*	664.01	652.75	773.73	875.84	1379.35	856.2	1109.96	876.29	140.56	132.13	121.34	545.15	547.38	553.32	814.32	866.23	570.45	512.26	677.28	611.64
mmu-miR-151-3p	653.61	198.34	190.59	367.54	406.89	139.66	229.27	289.23	1037.26	1217.19	911.54	1017.55	1278	1008.26	1000.45	1076.08	765.84	439.08	434.31	411.47
mmu-miR-501-3p	652.75	248.62	228.18	1047.88	764.95	683.55	687.82	824.74	1502.57	1004.98	1308.12	295.86	388.31	375.5	549.09	502.66	596.38	414.69	522.39	455.95
mmu-miR-668	641.88	769.15	950.33	1423.24	1814.72	1009.19	691.87	562.72	213.27	292.29	257.48	272.58	307.22	385.9	595.62	427.02	787.14	430.95	476.83	528.24
mmu-miR-664	641.83	941.42	834.05	727.26	471.99	262.47	383.02	313.57	1807.93	2058.02	796.12	573.28	372.72	652.63	316.42	380.65	342.64	430.95	279.42	250.22
mmu-miR-543*	633.51	680.69	802.58	852.38	850.4	934.09	841.57	970.79	368.37	540.53	600.79	577.16	813.27	576.96	544.43	714.95	715.84	284.59	200.45	166.81
mmu-miR-490-5p	620.96	535.42	529.81	2291.26	1883.89	633.72	767.4	604.24	4.85	0	0	1163.06	1151.68	1390.38	335.04	248.89	160.21	48.79	27.33	22.24
mmu-miR-376a*	612.97	962.83	774.6	1118.26	793.43	593.02	636.57	877.72	693.12	828.81	680.7	521.87	577.79	470.08	535.13	629.54	598.23	146.36	130.6	77.85
mmu-miR-330*	606.01	1287.81	1352.49	1704.76	1265.42	710.92	922.49	748.86	227.81	212.21	198.29	362.79	268.23	423.74	451.37	370.89	375.98	162.62	300.68	166.81
mmu-miR-490-3p	602.09	561.5	619.86	2072.3	2445.39	570.56	633.88	658.65	0	4	2.96	844.89	717.37	1000.7	311.77	268.41	388.01	97.57	130.6	111.21
mmu-miR-130b	583.81	1721.74	1868.31	1274.66	964.32	1016.21	1058.71	904.93	92.09	64.06	153.9	239.6	169.2	265.78	414.14	265.97	247.26	154.49	100.23	116.77
mmu-miR-1224	578.87	578.26	611.11	1540.54	1436.31	857.6	699.96	637.17	227.81	188.18	423.22	754.68	918.54	778.42	469.98	348.93	298.19	105.71	85.04	38.92
mmu-miR-34c	575.05	754.25	955.57	2322.54	2429.12	633.02	493.62	713.06	43.62	40.04	47.35	82.45	121.64	85.13	102.37	104.92	205.58	626.1	598.32	567.16
mmu-miR-361*	563.02	660.2	565.65	1759.5	785.29	425.99	376.28	273.48	983.94	560.55	967.77	256.09	283.05	478.59	237.32	85.4	145.39	650.49	607.43	594.96
mmu-miR-139-3p	559.19	409.72	431.89	1892.44	1721.13	776.19	581.28	609.97	334.44	296.29	594.87	528.66	532.57	845.58	404.83	192.77	340.79	32.52	48.59	50.04
mmu-miR-192	553.64	380.85	349.71	398.82	419.09	299.67	353.35	204.75	276.28	328.32	227.89	283.25	295.52	318.75	339.69	263.53	311.15	2154.76	1706.87	1606.96
mmu-miR-298	550.84	68.91	82.18	1235.56	1383.42	2246.46	1436.34	1729.67	9.69	16.02	14.8	67.9	116.18	111.61	553.74	558.78	526	121.97	103.26	83.41
mmu-miR-190	538.44	508.42	335.72	875.84	638.81	277.91	226.58	567.01	1095.42	884.87	716.21	317.2	386.75	390.63	628.19	436.78	990.87	341.51	328.01	283.58
mmu-miR-106b	533.11	362.23	430.14	523.94	496.4	308.79	352	481.1	790.06	756.74	588.95	597.53	653.43	593.04	642.15	527.06	521.37	577.31	537.57	389.23
mmu-miR-3475	521.36	419.03	507.08	914.94	1179.97	1079.37	1475.45	1088.2	9.69	12.01	5.92	342.42	564.54	344.28	567.7	841.83	497.29	16.26	12.15	27.8
mmu-let-7e*	508.12	398.54	399.54	774.18	353.99	465.99	558.35	529.78	271.43	324.32	254.52	565.52	557.52	552.37	572.35	500.22	431.54	845.64	592.24	706.17
mmu-miR-582-5p	504.76	226.27	166.11	273.7	223.79	162.12	180.72	284.94	82.4	88.09	17.76	895.33	942.71	922.19	362.95	588.06	738.06	1390.43	1233.08	811.82
mmu-miR-378*	485.73	358.5	396.92	195.5	183.1	216.15	213.09	161.8	382.91	324.32	369.94	293.92	303.32	361.31	251.28	168.37	159.28	1601.84	1591.46	1695.92
mmu-miR-1198-5p	477.62	626.68	592.75	758.54	630.68	555.83	581.28	767.47	227.81	264.26	204.21	934.13	905.28	1003.53	288.5	253.77	305.6	81.31	48.59	44.48
mmu-miR-700	473.45	585.71	550.79	1180.82	1782.17	564.95	774.14	451.03	227.81	376.37	298.91	71.78	36.65	75.67	237.32	268.41	116.68	455.35	507.2	433.71
mmu-miR-412-5p	466.54	482.35	604.99	985.32	728.33	798.65	743.12	342.21	460.46	472.46	790.2	188.18	300.2	323.48	563.05	392.85	457.47	81.31	60.74	88.97
mmu-miR-148b	450.52	519.59	541.17	594.32	406.89	370.55	547.56	577.03	213.27	288.28	346.27	433.6	429.64	401.04	739.87	771.07	667.68	260.2	279.42	172.37
mmu-miR-33	447.68	55.87	62.95	289.34	919.57	320.72	388.42	542.67	67.86	84.08	65.11	734.31	1341.16	823.82	423.45	829.63	438.95	536.66	397.87	183.49
mmu-miR-383	444.55	265.38	336.59	226.78	402.82	444.94	392.46	459.62	285.97	280.27	375.86	627.61	722.04	816.26	1158.66	722.27	814	32.52	54.67	27.8
mmu-miR-544-5p	429.57	521.46	418.77	664.7	891.08	436.52	608.25	469.65	77.55	68.07	47.35	382.19	421.84	341.45	884.12	910.15	445.43	227.67	206.53	139.01
mmu-miR-467e	413.20	317.53	317.36	414.46	398.75	209.84	161.84	390.89	460.46	340.33	366.98	169.75	187.92	238.35	395.53	719.83	950.13	634.23	598.32	578.28
mmu-let-7a-1*	407.47	351.98	271.9	187.68	313.3	151.59	262.99	252	189.03	244.24	44.39	219.23	233.14	231.73	316.42	675.91	410.24	1390.43	1145	850.74
mmu-let-7c-2*	407.38	351.98	271.9	187.68	313.3	151.59	260.29	252	189.03	244.24	44.39	219.23	233.14	231.73	316.42	675.91	411.17	1390.43	1145	850.74
mmu-miR-340-3p	402.40	278.42	310.37	641.24	504.54	111.59	245.46	379.44	867.61	672.66	204.21	431.66	378.96	454.95	200.09	505.1	538.96	398.43	221.71	300.26
mmu-miR-423-5p	388.90	305.42	348.83	414.46	581.85	436.52	383.02	425.26	484.7	352.35	745.81	176.54	245.62	292.26	549.09	197.65	331.53	292.72	358.38	467.07
mmu-miR-674*	384.77	347.33	340.09	203.32	288.89	285.63	447.76	345.07	29.08	16.02	8.88	967.11	771.95	1116.09	311.77	602.7	441.73	341.51	306.75	139.01
mmu-miR-146a	383.87	108.02	92.67	156.4	203.44	120.01	161.84	121.71	4.85	144.14	2.96	344.36	374.28	354.69	1298.26	1151.72	1452.05	268.33	455.57	478.2
mmu-miR-411*	383.87	551.25	693.29	703.8	764.95	244.93	424.83	449.6	252.04	332.33	153.9	635.37	628.47	578.85	167.52	229.37	267.63	81.31	72.89	61.16
mmu-miR-540-3p	375.11	358.5	441.51	750.72	923.63	489.15	411.35	380.87	353.83	372.36	449.85	328.84	383.63	410.49	218.7	300.13	282.45	73.18	136.67	61.16
mmu-miR-25	355.13	203.93	188.84	250.24	227.86	90.53	138.91	158.93	281.13	308.3	260.44	517.02	438.22	470.08	465.33	439.22	315.78	666.76	753.21	572.72
mmu-miR-337-3p	341.24	304.49	293.75	406.64	471.99	251.24	343.91	372.28	828.84	1069.05	378.82	280.34	339.19	303.61	200.09	178.13	192.62	89.44	78.97	100.09
mmu-miR-543	339.98	499.11	595.38	828.92	646.95	292.65	404.6	458.19	397.45	372.36	236.76	368.61	378.96	430.36	51.19	82.96	129.65	138.23	97.19	50.04
mmu-miR-544-3p	337.33	436.72	445	398.82	301.1	400.73	427.53	558.42	363.52	368.36	328.51	291.98	452.25	350.91	120.98	297.69	194.47	243.94	200.45	227.98
mmu-miR-92a	329.11	54.94	62.95	54.74	105.79	38.6	43.16	58.71	266.58	212.21	103.58	701.33	377.4	666.82	525.82	409.94	469.51	837.51	607.43	656.13
mmu-miR-874	319.78	201.13	294.63	688.16	842.26	213.35	132.17	28.64	315.05	344.34	526.8	110.58	162.19	250.65	93.07	51.24	67.6	585.44	668.17	500.44
mmu-miR-125b-1-3p	319.40	148.06	184.47	664.7	642.88	315.11	369.54	282.07	319.9	372.36	556.4	126.1	208.97	180.65	469.98	497.78	392.65	130.1	112.37	94.53
mmu-miR-144	308.97	18.62	6.99	7.82	28.48	4.91	10.79	11.45	4.85	32.03	8.88	7.76	10.92	5.68	795.71	1381.09	946.42	1105.84	859.51	622.77
mmu-miR-107*	305.26	461.86	500.96	508.3	415.03	286.33	436.97	300.69	431.38	372.36	213.09	202.73	236.26	254.43	176.82	175.69	189.84	178.89	258.16	200.17
mmu-miR-3099	303.04	82.87	76.06	930.58	1061.98	456.87	503.06	536.94	63.01	100.1	65.11	272.58	332.95	284.7	404.83	287.93	185.21	48.79	36.45	27.8
mmu-miR-770-3p	301.36	216.03	280.64	414.46	683.57	348.09	330.43	264.89	334.44	460.45	731.01	299.74	350.89	366.99	209.4	165.93	135.2	24.39	75.93	33.36
mmu-miR-501-5p	301.18	91.25	57.7	359.72	317.37	188.08	214.44	352.23	664.04	488.48	674.78	116.4	128.66	122.96	269.89	322.09	273.18	471.61	337.12	272.46
mmu-miR-496	292.13	402.27	396.92	234.6	496.4	226.68	374.93	349.37	198.73	420.41	180.53	273.55	329.83	230.78	204.74	492.9	385.24	121.97	130.6	100.09
mmu-miR-199a-3p	286.07	39.11	41.09	727.26	744.6	181.06	273.78	243.41	33.93	60.06	29.6	79.54	70.96	62.43	437.41	719.83	711.21	243.94	385.72	350.31
mmu-miR-199b	285.82	39.11	41.09	727.26	740.54	180.36	273.78	243.41	33.93	60.06	29.6	79.54	70.96	62.43	437.41	719.83	711.21	243.94	385.72	350.31
mmu-miR-499	281.17	752.39	583.14	297.16	341.79	385.29	384.37	378.01	29.08	32.03	23.68	222.14	127.88	185.38	386.22	300.13	303.74	252.07	185.27	172.37
mmu-miR-101a*	277.77	211.38	176.6	336.26	427.23	205.63	245.46	270.62	38.78	44.04	41.43	197.88	232.36	213.76	414.14	353.81	327.82	569.18	537.57	433.71
mmu-miR-299	263.94	321.25	374.19	484.84	394.68	307.39	325.03	375.14	140.56	172.17	198.29	329.81	349.33	337.66	223.36	214.73	234.29	89.44	75.93	66.72
mmu-miR-30c-2*	261.68	301.7	310.37	203.32	150.55	250.54	287.27	299.26	130.87	188.18	147.98	159.08	241.72	214.71	344.34	380.65	429.69	317.12	297.64	316.94
mmu-miR-669c	255.21	170.4	210.7	351.9	309.23	138.25	98.45	241.98	411.99	172.17	346.27	67.9	76.41	82.29	577.01	356.25	374.12	365.9	297.64	200.17
mmu-miR-669a-3p	253.97	98.7	105.79	70.38	40.69	72.99	91.71	134.59	48.47	56.05	17.76	38.8	34.31	43.51	251.28	580.74	551.93	951.35	807.88	828.5
mmu-miR-669o-3p	253.97	98.7	105.79	70.38	40.69	72.99	91.71	134.59	48.47	56.05	17.76	38.8	34.31	43.51	251.28	580.74	551.93	951.35	807.88	828.5
mmu-miR-329*	252.66	352.91	370.69	297.16	467.92	347.39	285.92	337.92	218.11	120.12	139.1	226.02	356.34	268.62	246.62	209.85	172.25	146.36	142.75	94.53
mmu-miR-322	243.86	44.7	42.84	109.48	162.76	9.83	47.2	5.73	43.62	76.07	29.6	13.58	3.12	10.4	818.98	985.8	1138.12	414.69	410.01	266.9
mmu-miR-664*	236.42	208.58	223.81	203.32	187.17	160.71	161.84	151.78	426.54	292.29	479.45	219.23	202.73	290.37	390.87	280.61	342.64	105.71	69.85	94.53
mmu-miR-219-5p	231.60	102.43	97.92	62.56	48.83	35.79	45.85	28.64	804.6	636.62	364.02	15.52	17.15	23.65	232.66	192.77	275.04	626.1	467.72	322.5
mmu-miR-203	230.92	30.73	15.74	117.3	77.31	42.11	44.51	64.43	29.08	32.03	5.92	830.34	870.19	726.4	335.04	507.54	479.69	24.39	88.08	66.72
