UNIQID	AVERAGE	Pv.1	Pv.2	Sst.1	Sst.2	Gad2.1	Gad2.2	Gad2.3	Purkinje.1	Purkinje.2	Purkinje.3	Camk2a.1	Camk2a.2	Camk2a.3	Neocortex.1	Neocortex.2	Neocortex.3	Cerebellum.1	Cerebellum.2	Cerebellum.3
mmu-miR-99a	49498.37	10372.33	11742.29	29950.66	41193.3	45930.66	47869.88	43364.88	9950.89	13084.81	10029.92	31372.5	34641.71	28375.13	118062.73	121884.98	90737.16	76839.64	83229.79	91835.71
mmu-miR-139-5p	48804.29	22857.48	28782.65	168529.13	145161.23	55875.86	54490.52	73469.44	35562.44	35819.07	18923.38	56408.82	50960.21	73267.42	24010.87	24064.18	48526.87	3748.47	3592.94	3230.6
mmu-miR-127	45707.90	64914.8	60218.7	105906.46	87134.99	64279.91	68480.33	63722.87	15723.67	16500.16	21871.09	37795.03	47154.28	40171.62	54843.42	60704.58	34584.26	8293.8	8248.87	7901.34
mmu-miR-300	43675.56	46072.53	52107.24	70997.91	66660.4	56832.41	60693.08	76797.05	28825.11	32179.51	23608.35	59503.19	63448.6	61644.97	29994.97	32736.26	31740.36	11399.91	12160.71	12433.07
mmu-miR-181b	42103.18	37340.93	43842.78	112404.89	126090.41	67643.63	63474.05	65511.24	28199.84	23767.27	32688.26	24819.03	22200.11	26625.33	24201.65	23834.81	25531.2	15660.65	18219.8	17904.52
mmu-miR-433	41292.47	50151.07	56642.94	45645.42	47544.82	60483.88	41959.98	47422.73	102770.93	103741.58	119486.02	14658.03	21214.51	20405.5	11219.03	8537.88	12660.03	5691.83	7787.23	6533.48
mmu-miR-107	39383.83	36884.66	45793.28	37559.53	50441.86	61858	52420.31	65843.43	33056.54	37320.54	40750.08	28513.85	36099.84	34798.31	37756.62	36896.61	43316.91	20864.6	24591.72	23526.09
mmu-miR-136*	38594.53	48791.56	50095.55	41946.56	53062.22	42725.54	44090.89	48638.37	37065.01	45108.17	40832.95	33725.78	31647.49	32384.54	44178.13	41135.05	35879.81	19213.98	23212.86	19561.52
mmu-miR-129-2-3p	38156.34	9820.14	11912.77	14255.89	12060.15	30879.87	33916.48	39715.11	1037.26	740.73	621.51	62159.12	50557.08	46248.62	26793.52	47213.32	42664.98	96370.73	107791.15	90212.07
mmu-miR-191	37728.70	22499.91	27958.21	40343.46	39289.07	35864.75	43285.73	38032.69	47907.74	48755.74	58613.94	27010.31	18050.31	31531.39	57272.43	42037.89	33936.03	30288.64	38641.54	35525.45
